辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形)
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,その,其の,ソノ,連体詞,,,ソノ,ソノ,和,その,ソノ
現代語,I,音,音,オト,名詞-普通名詞-一般,,,オト,オト,和,音,オト
現代語,I,で,だ,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,眼,目,メ,名詞-普通名詞-一般,,,メ,メ,和,眼,メ
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,さまし,覚ます,サマス,動詞-一般,五段-サ行,連用形-一般,サマシ,サマシ,和,さます,サマス
現代語,I,まし,ます,マス,助動詞,助動詞-マス,連用形-一般,マシ,マシ,和,ます,マス
現代語,I,た,た,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ
現代語,I,が,が,ガ,助詞-接続助詞,,,ガ,ガ,和,が,ガ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,それ,其れ,ソレ,代名詞,,,ソレ,ソレ,和,それ,ソレ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,泥酔,泥酔,デイスイ,名詞-普通名詞-サ変可能,,,デースイ,デイスイ,漢,泥酔,デイスイ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,夫,夫,オット,名詞-普通名詞-一般,,,オット,オット,和,夫,オット
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,深夜,深夜,シンヤ,名詞-普通名詞-副詞可能,,,シンヤ,シンヤ,漢,深夜,シンヤ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,帰宅,帰宅,キタク,名詞-普通名詞-サ変可能,,,キタク,キタク,漢,帰宅,キタク
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,きまっ,決まる,キマル,動詞-一般,五段-ラ行,連用形-促音便,キマッ,キマッ,和,きまる,キマル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,いる,居る,イル,動詞-非自立可能,上一段-ア行,連体形-一般,イル,イル,和,いる,イル
現代語,I,の,の,ノ,助詞-準体助詞,,,ノ,ノ,和,の,ノ
現代語,I,で,だ,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ
現代語,I,ござい,御座る,ゴザル,動詞-非自立可能,五段-ラ行,連用形-イ音便,ゴザイ,ゴザイ,混,ござる,ゴザル
現代語,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス
現代語,I,から,から,カラ,助詞-接続助詞,,,カラ,カラ,和,から,カラ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,その,其の,ソノ,連体詞,,,ソノ,ソノ,和,その,ソノ
現代語,I,まま,侭,ママ,名詞-普通名詞-副詞可能,,,ママ,ママ,和,まま,ママ
現代語,I,黙っ,黙る,ダマル,動詞-一般,五段-ラ行,連用形-促音便,ダマッ,ダマッ,和,黙る,ダマル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,寝,寝る,ネル,動詞-一般,下一段-ナ行,連用形-一般,ネ,ネ,和,寝る,ネル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,い,居る,イル,動詞-非自立可能,上一段-ア行,連用形-一般,イ,イ,和,いる,イル
現代語,I,まし,ます,マス,助動詞,助動詞-マス,連用形-一般,マシ,マシ,和,ます,マス
現代語,I,た,た,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,B,　,　,,空白,,,,,記号,　,
現代語,I,夫,夫,オット,名詞-普通名詞-一般,,,オット,オット,和,夫,オット
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,隣,隣り,トナリ,名詞-普通名詞-一般,,,トナリ,トナリ,和,隣,トナリ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,部屋,部屋,ヘヤ,名詞-普通名詞-一般,,,ヘヤ,ヘヤ,和,部屋,ヘヤ
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,電気,電気,デンキ,名詞-普通名詞-一般,,,デンキ,デンキ,漢,電気,デンキ
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,つけ,付ける,ツケル,動詞-非自立可能,下一段-カ行,連用形-一般,ツケ,ツケ,和,つける,ツケル
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,はあっ,はあ,ハア,感動詞-一般,,,ハーッ,ハアッ,和,はあっ,ハアッ
現代語,I,はあっ,はあ,ハア,感動詞-一般,,,ハーッ,ハアッ,和,はあっ,ハアッ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト
現代語,I,すさまじく,凄まじい,スサマジイ,形容詞-一般,形容詞,連用形-一般,スサマジク,スサマジク,和,すさまじい,スサマジイ
現代語,I,荒い,荒い,アライ,形容詞-一般,形容詞,連体形-一般,アライ,アライ,和,荒い,アライ
現代語,I,呼吸,呼吸,コキュウ,名詞-普通名詞-サ変可能,,,コキュー,コキュウ,漢,呼吸,コキュウ
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル
現代語,I,ながら,ながら,ナガラ,助詞-接続助詞,,,ナガラ,ナガラ,和,ながら,ナガラ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,机,机,ツクエ,名詞-普通名詞-一般,,,ツクエ,ツクエ,和,机,ツクエ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,引出し,引き出し,ヒキダシ,名詞-普通名詞-一般,,,ヒキダシ,ヒキダシ,和,引出し,ヒキダシ
現代語,I,や,や,ヤ,助詞-副助詞,,,ヤ,ヤ,和,や,ヤ
現代語,I,本箱,本箱,ホンバコ,名詞-普通名詞-一般,,,ホンバコ,ホンバコ,混,本箱,ホンバコ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,引出し,引き出し,ヒキダシ,名詞-普通名詞-一般,,,ヒキダシ,ヒキダシ,和,引出し,ヒキダシ
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,あけ,開ける,アケル,動詞-一般,下一段-カ行,連用形-一般,アケ,アケ,和,あける,アケル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,掻か,掻く,カク,動詞-一般,五段-カ行,未然形-一般,カカ,カカ,和,掻く,カク
現代語,I,き,き,キ,助動詞,文語助動詞-キ,終止形-一般,キ,キ,和,き,キ
現代語,I,まわし,回す,マワス,動詞-一般,五段-サ行,連用形-一般,マワシ,マワシ,和,まわす,マワス
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,何,何,ナニ,代名詞,,,ナン,ナン,和,何,ナン
現代語,I,やら,やら,ヤラ,助詞-副助詞,,,ヤラ,ヤラ,和,やら,ヤラ
現代語,I,捜し,探す,サガス,動詞-一般,五段-サ行,連用形-一般,サガシ,サガシ,和,捜す,サガス
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,いる,居る,イル,動詞-非自立可能,上一段-ア行,連体形-一般,イル,イル,和,いる,イル
現代語,I,様子,様子,ヨウス,名詞-普通名詞-一般,,,ヨース,ヨウス,漢,様子,ヨウス
現代語,I,でし,です,デス,助動詞,助動詞-デス,連用形-一般,デシ,デシ,和,です,デス
現代語,I,た,た,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ
現代語,I,が,が,ガ,助詞-接続助詞,,,ガ,ガ,和,が,ガ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,やがて,軈て,ヤガテ,副詞,,,ヤガテ,ヤガテ,和,やがて,ヤガテ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,どたり,どたり,ドタリ,副詞,,,ドタリ,ドタリ,和,どたり,ドタリ
現代語,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト
現代語,I,畳,畳,タタミ,名詞-普通名詞-一般,,,タタミ,タタミ,和,畳,タタミ
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,腰,腰,コシ,名詞-普通名詞-一般,,,コシ,コシ,和,腰,コシ
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,おろし,下ろす,オロス,動詞-一般,五段-サ行,連用形-一般,オロシ,オロシ,和,おろす,オロス
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,坐っ,座る,スワル,動詞-一般,五段-ラ行,連用形-促音便,スワッ,スワッ,和,坐る,スワル
現代語,I,た,た,タ,助動詞,助動詞-タ,連体形-一般,タ,タ,和,た,タ
現代語,I,よう,様,ヨウ,形状詞-助動詞語幹,,,ヨー,ヨウ,漢,よう,ヨウ
現代語,I,な,だ,ダ,助動詞,助動詞-ダ,連体形-一般,ナ,ナ,和,だ,ダ
現代語,I,物音,物音,モノオト,名詞-普通名詞-一般,,,モノオト,モノオト,和,物音,モノオト
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
現代語,I,聞え,聞こえる,キコエル,動詞-一般,下一段-ア行,連用形-一般,キコエ,キコエ,和,聞える,キコエル
現代語,I,まし,ます,マス,助動詞,助動詞-マス,連用形-一般,マシ,マシ,和,ます,マス
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,あと,後,アト,名詞-普通名詞-副詞可能,,,アト,アト,和,あと,アト
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,ただ,唯,タダ,副詞,,,タダ,タダ,和,ただ,タダ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,はあっ,はあ,ハア,感動詞-一般,,,ハーッ,ハアッ,和,はあっ,ハアッ
現代語,I,はあっ,はあ,ハア,感動詞-一般,,,ハーッ,ハアッ,和,はあっ,ハアッ
現代語,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト
現代語,I,いう,言う,イウ,動詞-一般,五段-ワア行,連体形-一般,イウ,イウ,和,いう,イウ
現代語,I,荒い,荒い,アライ,形容詞-一般,形容詞,連体形-一般,アライ,アライ,和,荒い,アライ
現代語,I,呼吸,呼吸,コキュウ,名詞-普通名詞-サ変可能,,,コキュー,コキュウ,漢,呼吸,コキュウ
現代語,I,ばかり,ばかり,バカリ,助詞-副助詞,,,バカリ,バカリ,和,ばかり,バカリ
現代語,I,で,だ,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,何,何,ナニ,代名詞,,,ナン,ナン,和,何,ナン
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,いる,居る,イル,動詞-非自立可能,上一段-ア行,連体形-一般,イル,イル,和,いる,イル
現代語,I,事,事,コト,名詞-普通名詞-一般,,,コト,コト,和,事,コト
現代語,I,やら,やら,ヤラ,助詞-副助詞,,,ヤラ,ヤラ,和,やら,ヤラ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,私,私-代名詞,ワタクシ,代名詞,,,ワタクシ,ワタクシ,和,私,ワタクシ
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
現代語,I,寝,寝る,ネル,動詞-一般,下一段-ナ行,連用形-一般,ネ,ネ,和,寝る,ネル
現代語,I,た,た,タ,助動詞,助動詞-タ,連体形-一般,タ,タ,和,た,タ
現代語,I,まま,侭,ママ,名詞-普通名詞-副詞可能,,,ママ,ママ,和,まま,ママ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,B,「,「,,補助記号-括弧開,,,,,記号,「,
現代語,I,お,御,オ,接頭辞,,,オ,オ,和,お,オ
現代語,I,かえり,返る,カエル,動詞-一般,五段-ラ行,連用形-一般,カエリ,カエリ,和,かえる,カエル
現代語,I,なさい,為さる,ナサル,動詞-非自立可能,五段-ラ行,連用形-イ音便,ナサイ,ナサイ,和,なさる,ナサル
現代語,I,まし,ます,マス,助動詞,助動詞-マス,連用形-一般,マシ,マシ,和,ます,マス
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,ごはん,御飯,ゴハン,名詞-普通名詞-一般,,,ゴハン,ゴハン,漢,ごはん,ゴハン
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,お,御,オ,接頭辞,,,オ,オ,和,お,オ
現代語,I,すみ,墨,スミ,名詞-普通名詞-一般,,,スミ,スミ,和,すみ,スミ
現代語,I,です,です,デス,助動詞,助動詞-デス,終止形-一般,デス,デス,和,です,デス
現代語,I,か,か,カ,助詞-終助詞,,,カ,カ,和,か,カ
現代語,I,？,？,,補助記号-句点,,,,,記号,？,
現代語,I,　,　,,空白,,,,,記号,　,
現代語,I,お,御,オ,接頭辞,,,オ,オ,和,お,オ
現代語,I,戸棚,戸棚,トダナ,名詞-普通名詞-一般,,,トダナ,トダナ,和,戸棚,トダナ
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,おむすび,御結び,オムスビ,名詞-普通名詞-一般,,,オムスビ,オムスビ,和,おむすび,オムスビ
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
現代語,I,ござい,御座る,ゴザル,動詞-非自立可能,五段-ラ行,連用形-イ音便,ゴザイ,ゴザイ,混,ござる,ゴザル
現代語,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス
現代語,I,けど,けれど,ケレド,助詞-接続助詞,,,ケド,ケド,和,けど,ケド
現代語,I,」,」,,補助記号-括弧閉,,,,,記号,」,
現代語,B,　,　,,空白,,,,,記号,　,
現代語,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト
現代語,I,申し,申す,モウス,動詞-非自立可能,五段-サ行,連用形-一般,モーシ,モウシ,和,申す,モウス
現代語,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス
現代語,I,と,と,ト,助詞-接続助詞,,,ト,ト,和,と,ト
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,B,「,「,,補助記号-括弧開,,,,,記号,「,
現代語,I,や,や,ヤ,助詞-副助詞,,,ヤ,ヤ,和,や,ヤ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,ありがとう,有り難う,アリガトウ,感動詞-一般,,,アリガトー,アリガトウ,和,ありがとう,アリガトウ
現代語,I,」,」,,補助記号-括弧閉,,,,,記号,」,
現代語,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト
現代語,I,いつ,何時,イツ,代名詞,,,イツ,イツ,和,いつ,イツ
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,なく,無い,ナイ,形容詞-非自立可能,形容詞,連用形-一般,ナク,ナク,和,ない,ナイ
現代語,I,優しい,優しい,ヤサシイ,形容詞-一般,形容詞,連体形-一般,ヤサシー,ヤサシイ,和,優しい,ヤサシイ
現代語,I,返事,返事,ヘンジ,名詞-普通名詞-サ変可能,,,ヘンジ,ヘンジ,漢,返事,ヘンジ
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,いたし,致す,イタス,動詞-非自立可能,五段-サ行,連用形-一般,イタシ,イタシ,和,いたす,イタス
現代語,I,まし,ます,マス,助動詞,助動詞-マス,連用形-一般,マシ,マシ,和,ます,マス
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,「,「,,補助記号-括弧開,,,,,記号,「,
現代語,I,坊や,坊や,ボウヤ,名詞-普通名詞-一般,,,ボーヤ,ボウヤ,混,坊や,ボウヤ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,どう,どう,ドウ,副詞,,,ドー,ドウ,和,どう,ドウ
現代語,I,です,です,デス,助動詞,助動詞-デス,終止形-一般,デス,デス,和,です,デス
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,熱,熱,ネツ,名詞-普通名詞-一般,,,ネツ,ネツ,漢,熱,ネツ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,まだ,未だ,マダ,副詞,,,マダ,マダ,和,まだ,マダ
現代語,I,あり,有る,アル,動詞-非自立可能,五段-ラ行,連用形-一般,アリ,アリ,和,ある,アル
現代語,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス
現代語,I,か,か,カ,助詞-終助詞,,,カ,カ,和,か,カ
現代語,I,？,？,,補助記号-句点,,,,,記号,？,
現代語,I,」,」,,補助記号-括弧閉,,,,,記号,」,
現代語,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト
現代語,I,たずね,尋ねる,タズネル,動詞-一般,下一段-ナ行,連用形-一般,タズネ,タズネ,和,たずねる,タズネル
現代語,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,B,　,　,,空白,,,,,記号,　,
現代語,I,これ,此れ,コレ,代名詞,,,コレ,コレ,和,これ,コレ
現代語,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ
現代語,I,珍らしい,珍しい,メズラシイ,形容詞-一般,形容詞,連体形-一般,メズラシー,メズラシイ,和,珍らしい,メズラシイ
現代語,I,事,事,コト,名詞-普通名詞-一般,,,コト,コト,和,事,コト
現代語,I,で,だ,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ
現代語,I,ござい,御座る,ゴザル,動詞-非自立可能,五段-ラ行,連用形-イ音便,ゴザイ,ゴザイ,混,ござる,ゴザル
現代語,I,まし,ます,マス,助動詞,助動詞-マス,連用形-一般,マシ,マシ,和,ます,マス
現代語,I,た,た,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,坊や,坊や,ボウヤ,名詞-普通名詞-一般,,,ボーヤ,ボウヤ,混,坊や,ボウヤ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,来年,来年,ライネン,名詞-普通名詞-副詞可能,,,ライネン,ライネン,漢,来年,ライネン
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,四,四,ヨン,名詞-数詞,,,ヨッ,ヨッ,和,四,ヨ
現代語,I,つ,つ,ツ,接尾辞-名詞的-助数詞,,,ツ,ツ,和,つ,ツ
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,なる,成る,ナル,動詞-非自立可能,五段-ラ行,連体形-一般,ナル,ナル,和,なる,ナル
現代語,I,の,の,ノ,助詞-準体助詞,,,ノ,ノ,和,の,ノ
現代語,I,です,です,デス,助動詞,助動詞-デス,終止形-一般,デス,デス,和,です,デス
現代語,I,が,が,ガ,助詞-接続助詞,,,ガ,ガ,和,が,ガ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,栄養,栄養,エイヨウ,名詞-普通名詞-一般,,,エーヨー,エイヨウ,漢,栄養,エイヨウ
現代語,I,不足,不足,フソク,名詞-普通名詞-サ変形状詞可能,,,ブソク,ブソク,漢,不足,フソク
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,せい,所為,セイ,名詞-普通名詞-一般,,,セー,セイ,漢,せい,セイ
現代語,I,か,か,カ,助詞-副助詞,,,カ,カ,和,か,カ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,また,又,マタ,接続詞,,,マタ,マタ,和,また,マタ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,夫,夫,オット,名詞-普通名詞-一般,,,オット,オット,和,夫,オット
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,酒毒,酒毒,シュドク,名詞-普通名詞-一般,,,シュドク,シュドク,漢,酒毒,シュドク
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,せい,所為,セイ,名詞-普通名詞-一般,,,セー,セイ,漢,せい,セイ
現代語,I,か,か,カ,助詞-副助詞,,,カ,カ,和,か,カ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,病毒,病毒,ビョウドク,名詞-普通名詞-一般,,,ビョードク,ビョウドク,漢,病毒,ビョウドク
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,せい,所為,セイ,名詞-普通名詞-一般,,,セー,セイ,漢,せい,セイ
現代語,I,か,か,カ,助詞-副助詞,,,カ,カ,和,か,カ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,よそ,余所,ヨソ,名詞-普通名詞-一般,,,ヨソ,ヨソ,和,よそ,ヨソ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,二,二,フタ,名詞-数詞,,,フタ,フタ,和,二,フタ
現代語,I,つ,つ,ツ,接尾辞-名詞的-助数詞,,,ツ,ツ,和,つ,ツ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,子供,子供,コドモ,名詞-普通名詞-一般,,,コドモ,コドモ,和,子供,コドモ
現代語,I,より,より,ヨリ,助詞-格助詞,,,ヨリ,ヨリ,和,より,ヨリ
現代語,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ
現代語,I,小さい,小さい,チイサイ,形容詞-一般,形容詞,連体形-一般,チーサイ,チイサイ,和,小さい,チイサイ
現代語,I,くらい,くらい,クライ,助詞-副助詞,,,クライ,クライ,和,くらい,クライ
現代語,I,で,だ,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,歩く,歩く,アルク,動詞-一般,五段-カ行,連体形-一般,アルク,アルク,和,歩く,アルク
現代語,I,足許,足元,アシモト,名詞-普通名詞-一般,,,アシモト,アシモト,和,足許,アシモト
現代語,I,あしもと,足元,アシモト,名詞-普通名詞-一般,,,アシモト,アシモト,和,あしもと,アシモト
現代語,I,さえ,さえ,サエ,助詞-副助詞,,,サエ,サエ,和,さえ,サエ
現代語,I,おぼつかなく,覚束無い,オボツカナイ,形容詞-一般,形容詞,連用形-一般,オボツカナク,オボツカナク,和,おぼつかない,オボツカナイ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,言葉,言葉,コトバ,名詞-普通名詞-一般,,,コトバ,コトバ,和,言葉,コトバ
現代語,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ
現代語,I,ウマウマ,うまうま,ウマウマ,副詞,,,ウマウマ,ウマウマ,和,ウマウマ,ウマウマ
現代語,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト
現代語,I,か,か,カ,助詞-副助詞,,,カ,カ,和,か,カ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,イヤイヤ,嫌々,イヤイヤ,名詞-普通名詞-一般,,,イヤイヤ,イヤイヤ,和,イヤイヤ,イヤイヤ
現代語,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト
現代語,I,か,か,カ,助詞-副助詞,,,カ,カ,和,か,カ
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,言える,言う,イウ,動詞-一般,下一段-ア行,連体形-一般,イエル,イエル,和,言える,イエル
現代語,I,くらい,くらい,クライ,助詞-副助詞,,,クライ,クライ,和,くらい,クライ
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
現代語,I,関の山,関の山,セキノヤマ,名詞-普通名詞-一般,,,セキノヤマ,セキノヤマ,和,関の山,セキノヤマ
現代語,I,で,だ,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,脳,脳,ノウ,名詞-普通名詞-一般,,,ノー,ノウ,漢,脳,ノウ
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
